atividade,area_ha
ADUBAÇÃO QUÍM MAN DE BASE Impl. PL - APP/ RL,54.019
CAPINA MANUAL COROA Impl. CD APP/ RL I,33.258
CAPINA MANUAL COROA Impl. PL - APP/ RL I,72.8535
COMBATE À FORMIGAS Impl. CD APP/RL,36.33
COMBATE À FORMIGAS Impl. PL APP/ RL,83.73
CONDUÇÃO DE REGENERAÇÃO,36.33
COVEAMENTO - MOTOCOVEADOR PL APP/RL,35.051
COVEAMENTO ÁREA SUBSOL Impl. PL - APP/RL,2.915
IRRIGAÇÃO INICIAL MAN Impl. PL - APP/ RL,54.019
LIMPEZA DE AREA QUIM. Impl. CD APP/RL,33.258
LIMPEZA DE ÁREA QUIM. MAN APP/RL,72.8535
NUCLEAÇÃO EM FAIXAS APP/RL,10.745
PLANTIO MANUAL APP/RL,43.274
PREPARO DE SOLO MEC S/ ADUB APP/RL,16.052999999999997
ROÇADA MANUAL Impl. CD APP/RL I,33.258
ROÇADA MANUAL Impl. PL APP/RL I,72.8535
